,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
45,5,18556698,Asia,Kazakhstan,KAZ,460700,349,Russia,Putin,,Kazakhstan,,6.8.2017,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/54749,2017
46,5,18556698,Asia,Kazakhstan,KAZ,460700,355,Russia,Putin,,Kazakhstan,,27.2.2017,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/53956,2017
47,5,18556698,Asia,Kazakhstan,KAZ,460700,363,Russia,Putin,,Kazakhstan,,10.4.2016,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/53022,2016
48,5,18556698,Asia,Kazakhstan,KAZ,460700,372,Russia,Putin,,Kazakhstan,,30.5.2016,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/52057,2016
49,5,18556698,Asia,Kazakhstan,KAZ,460700,378,Russia,Putin,,Kazakhstan,,14.10.2015,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/50520,2015
50,5,18556698,Asia,Kazakhstan,KAZ,460700,386,Russia,Putin,,Kazakhstan,,20.3.2015,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/49015,2015
51,5,18556698,Asia,Kazakhstan,KAZ,460700,398,Russia,Putin,,Kazakhstan,,30.9.2014,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/46704,2014
52,5,18556698,Asia,Kazakhstan,KAZ,460700,409,Russia,Putin,,Kazakhstan,,29.5.2014,,Treaty on Eurasian Economic Union signed,,,http://en.kremlin.ru/events/president/trips/45794,2014
53,5,18556698,Asia,Kazakhstan,KAZ,460700,421,Russia,Putin,,Kazakhstan,,7.7.2013,,Visit to Kazakhstan,,,http://en.kremlin.ru/events/president/trips/18720,2013
54,5,18556698,Asia,Kazakhstan,KAZ,460700,424,Russia,Putin,,Kazakhstan,,28.5.2013,,Vladimir Putin arrived in Astana to attend a Supreme Eurasian Economic Council meeting,,,http://en.kremlin.ru/events/president/trips/18218,2013
55,5,18556698,Asia,Kazakhstan,KAZ,460700,433,Russia,Putin,,Kazakhstan,,19.9.2012,,Meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/16505,2012
56,5,18556698,Asia,Kazakhstan,KAZ,460700,441,Russia,Putin,,Kazakhstan,,6.7.2012,,Official visit to Kazakhstan,,,http://en.kremlin.ru/events/president/trips/15598,2012
59,5,18556698,Asia,Kazakhstan,KAZ,460700,483,Russia,Dmitry Medvedev,,Kazakhstan,,9.7.2010,,Dmitry Medvedev and Nursultan Nazarbayev visited Russia-Kazakhstan Exhibition of Innovation Technology,,,http://en.kremlin.ru/events/president/trips/8845,2010
60,5,18556698,Asia,Kazakhstan,KAZ,460700,488,Russia,Dmitry Medvedev,,Kazakhstan,,7.5.2010,,"Statement on entry into force of the customs code of the Customs Union between Russia, Belarus and Kazakhstan",,,http://en.kremlin.ru/events/president/trips/8279,2010
61,5,18556698,Asia,Kazakhstan,KAZ,460700,508,Russia,Dmitry Medvedev,,Kazakhstan,,19.12.2009,,"Informal meeting of the presidents of Russia, Belarus, Kazakhstan, Armenia, Kyrgyzstan, Tajikistan and Turkmenistan has taken place",,,http://en.kremlin.ru/events/president/trips/6407,2009
62,5,18556698,Asia,Kazakhstan,KAZ,460700,516,Russia,Dmitry Medvedev,,Kazakhstan,,16.10.2009,,Dmitry Medvedev observed the final active phase of Cooperation 2009 special complex rapid reaction force exercises,,,http://en.kremlin.ru/events/president/trips/5758,2009
63,5,18556698,Asia,Kazakhstan,KAZ,460700,521,Russia,Dmitry Medvedev,,Kazakhstan,,9.11.2009,,"A meeting took place between the presidents of Russia, Kazakhstan, Azerbaijan and Turkmenistan",,,http://en.kremlin.ru/events/president/trips/5441,2009
64,5,18556698,Asia,Kazakhstan,KAZ,460700,538,Russia,Dmitry Medvedev,,Kazakhstan,,19.12.2008,,Dmitry Medvedev had a meeting with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/4570,2008
65,5,18556698,Asia,Kazakhstan,KAZ,460700,550,Russia,Dmitry Medvedev,,Kazakhstan,,22.9.2008,,Dmitry Medvedev met with President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/4560,2008
66,5,18556698,Asia,Kazakhstan,KAZ,460700,554,Russia,Dmitry Medvedev,,Kazakhstan,,7.5.2008,,"During a working visit to Kazakhstan the Russian President took part in activities connected with the celebration of the 10th anniversary of the republic's capital, Astana",,,http://en.kremlin.ru/events/president/trips/4557,2008
67,5,18556698,Asia,Kazakhstan,KAZ,460700,560,Russia,Dmitry Medvedev,,Kazakhstan,,22.5.2008,,Dmitry Medvedev arrived in Kazakhstan on a state visit,,,http://en.kremlin.ru/events/president/trips/4551,2008
68,5,18556698,Asia,Kazakhstan,KAZ,460700,585,Russia,Putin,,Kazakhstan,,5.10.2007,,The President of Russia made an official visit to Kazakhstan,,,http://en.kremlin.ru/events/president/trips/45636,2007
69,5,18556698,Asia,Kazakhstan,KAZ,460700,607,Russia,Putin,,Kazakhstan,,16.6.2006,,"Vladimir Putin met with the President of Azerbaijan, Ilham Aliyev",,,http://en.kremlin.ru/events/president/trips/45588,2006
70,5,18556698,Asia,Kazakhstan,KAZ,460700,615,Russia,Putin,,Kazakhstan,,1.11.2006,,President Vladimir Putin attended the inauguration ceremony of President of Kazakhstan Nursultan Nazarbayev,,,http://en.kremlin.ru/events/president/trips/45578,2006
71,5,18556698,Asia,Kazakhstan,KAZ,460700,628,Russia,Putin,,Kazakhstan,,7.5.2005,,The Shanghai Cooperation Organisation Council of Heads of State met in Astana,,,http://en.kremlin.ru/events/president/trips/48827,2005
72,5,18556698,Asia,Kazakhstan,KAZ,460700,629,Russia,Putin,,Kazakhstan,,6.2.2005,,President Vladimir Putin arrived at Baikonur,,,http://en.kremlin.ru/events/president/trips/48825,2005
73,5,18556698,Asia,Kazakhstan,KAZ,460700,650,Russia,Putin,,Kazakhstan,,15.9.2004,,A meeting of the Council of heads of member countries on the Agreement on forming a Common Economic Space took place in Astana,,,http://en.kremlin.ru/events/president/trips/48819,2004
74,5,18556698,Asia,Kazakhstan,KAZ,460700,651,Russia,Putin,,Kazakhstan,,15.9.2004,,"Vladimir Putin met with the Presidents of Azerbaijan and Armenia, Ilkham Aliyev and Robert Kocharian",,,http://en.kremlin.ru/events/president/trips/48899,2004
75,5,18556698,Asia,Kazakhstan,KAZ,460700,660,Russia,Putin,,Kazakhstan,,1.9.2004,,President Vladimir Putin and his Kazakh counterpart Nursultan Nazarbayev held talks in Astana,,,http://en.kremlin.ru/events/president/trips/45512,2004
76,5,18556698,Asia,Kazakhstan,KAZ,460700,692,Russia,Putin,,Kazakhstan,,7.6.2002,,An informal meeting of the heads of Central Asian states and Russia was held in Aktau,,,http://en.kremlin.ru/events/president/trips/48871,2002
77,5,18556698,Asia,Kazakhstan,KAZ,460700,694,Russia,Putin,,Kazakhstan,,6.4.2002,,A meeting of the heads of state and governments of member countries of the Conference on Interaction and Confidence Building Measures in Asia was held in Almaty,,,http://en.kremlin.ru/events/president/trips/48874,2002
80,5,18556698,Asia,Kazakhstan,KAZ,460700,806,China,Xi Jinping,,Kazakhstan,Astana,5.7.2015,5.7.2015,"Chinese president visits Kazakhstan to boost cooperation along ancient trade route, China, Kazakhstan to align development strategies for common prosperity","Xi Jinping, Nursultan Nazarbayev",http://news.xinhuanet.com/english/2015-05/08/c_134219458.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=22210,2015
81,5,18556698,Asia,Kazakhstan,KAZ,460700,833,China,Xi Jinping,,Kazakhstan,Matybulak Range,9.7.2013,9.9.2013,"Xi Jinping urged entrepreneurs from his country and Kazakhstan to boost cooperation #China #Kazakhstan, Xi Jinping discussed bilateral ties with the speaker of Kazakh Parliament's Lower House Nurlan Nigmatulin #China #Kazakhstan, #China, #Kazakhstan agree to boost security, law enforcement cooperation, #Kazakhstan hopes to ride on #China's boom: president","Xi Jinping, Nursultan Nazarbayev, Xi Jinping, Nurlan Nigmatulin, Xi Jinping, Nursultan Nazarbayev",http://news.xinhuanet.com/english/china/2013-09/09/c_125345940.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17953,2013
83,5,18556698,Asia,Kazakhstan,KAZ,460700,864,China,Hu Jintao,,Kazakhstan,Astana,6.12.2010,6.12.2010,Hu Jintao met with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Nursultan Nazarbayev",http://news.xinhuanet.com/english2010/china/2010-06/12/c_13346899.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8440,2010
84,5,18556698,Asia,Kazakhstan,KAZ,460700,870,China,Hu Jintao,,Kazakhstan,Astana,12.12.2009,12.12.2009,Hu Jintao met with Kazakhstan's President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Nursultan Nazarbayev",http://news.xinhuanet.com/english/2009-12/13/content_12638012.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7997,2009
85,5,18556698,Asia,Kazakhstan,KAZ,460700,895,China,Hu Jintao,,Kazakhstan,Alma-ata,18.8.2007,18.8.2007,Hu Jintao held talks with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Wu Yi, Nursultan Nazarbayev",http://news.xinhuanet.com/english/2007-08/18/content_6561247.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=6078,2007
86,5,18556698,Asia,Kazakhstan,KAZ,460700,915,China,Hu Jintao,,Kazakhstan,Almaty,17.6.2006,17.6.2006,Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,"Hu Jintao, Tang Jiaxuan",http://news.xinhuanet.com/english/2006-06/17/content_4710642.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5069,2006
88,5,18556698,Asia,Kazakhstan,KAZ,460700,957,China,Hu Jintao,,Kazakhstan,Astana,6.3.2003,6.3.2003,"Hu Jintao met with Kazakh Prime Minister Imangali Tasmagambetov and  leaders of both Houses of the Parliament.
, Hu Jintao held talks with Kazakh President Nursultan Nazarbayev.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Imangali Tasmagambetov, Hu Jintao, Li Zhaoxing, LÃ¼ Fuyuan, Tang Jiaxuan, Nursultan Nazarbayev",,http://www.chinavitae.com//vip/index.php?mode=show&id=236,2003
89,5,18556698,Asia,Kazakhstan,KAZ,460700,963,China,Jiang Zemin,,Kazakhstan,Almaty,6.3.2002,6.3.2002,Conference on Interaction and Confidence Building Measures,,https://www.fmprc.gov.cn/mfa_eng/topics_665678/3729_666010/t19104.shtml,,2002
90,6,29748859,Asia,Uzbekistan,UZB,202300,324,Russia,Putin,,Uzbekistan,,19.10.2018,,Beginning of talks with President of Uzbekistan Shavkat Mirziyoyev,,,http://en.kremlin.ru/events/president/trips/58865,2018
91,6,29748859,Asia,Uzbekistan,UZB,202300,370,Russia,Putin,,Uzbekistan,,23.6.2016,,Meeting with Chinese President Xi Jinping and President of Mongolia Tsakhiagiin Elbegdorj,,,http://en.kremlin.ru/events/president/trips/52266,2016
92,6,29748859,Asia,Uzbekistan,UZB,202300,391,Russia,Putin,,Uzbekistan,,12.10.2014,,Russian-Uzbekistani talks,,,http://en.kremlin.ru/events/president/trips/47218,2014
93,6,29748859,Asia,Uzbekistan,UZB,202300,443,Russia,Putin,,Uzbekistan,,6.4.2012,,Visit to Uzbekistan,,,http://en.kremlin.ru/events/president/trips/15551,2012
94,6,29748859,Asia,Uzbekistan,UZB,202300,459,Russia,Dmitry Medvedev,,Uzbekistan,,14.6.2011,,Visit to Uzbekistan,,,http://en.kremlin.ru/events/president/trips/11565,2011
95,6,29748859,Asia,Uzbekistan,UZB,202300,492,Russia,Dmitry Medvedev,,Uzbekistan,,6.10.2010,,Meeting with President of Uzbekistan Islam Karimov,,,http://en.kremlin.ru/events/president/trips/8022,2010
96,6,29748859,Asia,Uzbekistan,UZB,202300,537,Russia,Dmitry Medvedev,,Uzbekistan,,22.1.2009,,Dmitry Medvedev arrived in Uzbekistan for a two-day visit,,,http://en.kremlin.ru/events/president/trips/4571,2009
97,6,29748859,Asia,Uzbekistan,UZB,202300,655,Russia,Putin,,Uzbekistan,,16.6.2004,,President Vladimir Putin and President of Uzbekistan Islam Karimov signed a strategic partnership agreement between Russia and Uzbekistan,,,http://en.kremlin.ru/events/president/trips/45525,2004
